fish_id	genotype	sex	age	dob	exp_date	weight_gr	length_cm	As_avg	Ad_avg	HR_avg	inflow_avg	outflow_avg
f0091	WT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.329	3.017	0.97798	1.289196	166.540073	55.491227	58.8578865
f0092	WT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.401	2.991	0.880435	1.13802433333333	189.961448666667	230.280214	239.573029
f0093	WT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.234	2.799	0.811760333333333	1.031106			
f0094	WT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.303	2.699	0.851093	1.13503666666667	189.565923	116.776239666667	
f0095	HET	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.32	2.687	0.793457666666667	1.06705166666667	194.2602105	159.1317295	
f0096	MUT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.344	3.117	0.674818333333333	0.864940666666667	164.3774095	112.1660765	69.1910016666667
f0098	HET	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.314	2.86	0.968277	1.15883966666667	186.227854666667	185.266424666667	206.727743
f0099	MUT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.26	2.548	0.605786333333333	0.788681666666667	209.653406666667	106.561242	63.082148
f0102	MUT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.316	2.721	0.585864333333333	0.856804666666667	159.206403	138.249410333333	81.4980483333333
f0103	WT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.306	2.86	0.829768666666667	1.09644566666667	173.109202666667	153.970951666667	110.497513333333
f0105	MUT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.275	2.684	0.735484666666667	0.891212	149.596273	139.961406	45.6660533333333
f0106	WT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.321	3.141	0.84691	1.03556866666667	171.089298666667	137.685397666667	68.054319
f0107	HET	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.297	2.891	0.800316333333333	1.14506966666667	137.657448	217.029745	188.389495
f0108	MUT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.366	2.707	0.748949333333333	1.10094833333333	155.490278333333	139.058775666667	86.1936006666667
f0109	WT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.362	2.825	0.754567333333333	1.03947766666667	161.576082	171.850691	78.3785156666667
f0110	HET	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.322	2.931	0.892583666666667	1.24275833333333	158.970319333333	255.638351333333	
f0111	MUT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.32	2.603	0.844560333333333	0.972320666666667	106.922546	62.9036396666667	64.691367
f0112	WT	M	6month	2021-12-10T00:00:00Z	2022-06-01	0.621	3.289	1.35055433333333	2.120648	132.315559666667	266.120463	104.010751666667
f0113	WT	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.289	2.857	0.929221666666667	1.29791666666667	176.036032333333	262.513183333333	271.345421333333
f0114	WT	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.318	3.016	0.756995666666667	1.09055166666667	130.798819	238.585981666667	200.435472
f0115	WT	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.307	2.773	0.916261	1.21851633333333	127.055916	204.345597666667	244.015327333333
f0116	HET	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.292	2.78	0.906323666666667	1.20051066666667	104.836158333333	267.109894333333	114.077062666667
f0117	MUT	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.267	2.593	0.710313333333333	0.868273	177.054256333333	134.471007666667	139.567038666667
f0118	WT	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.414	2.886	1.066392	1.35426766666667	143.820679	354.118411333333	285.940887
f0119	HET	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.34	2.826	1.04146033333333	1.34348566666667	180.746826333333	249.50463	197.90912
f0120	MUT	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.255	2.722	0.857217666666667	1.03775666666667	160.506332666667	201.339893666667	44.3862716666667
f0121	WT	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.332	2.995	0.917272333333333	1.285413	157.396723	417.071431	301.422907333333
f0122	HET	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.341	2.907	0.975832333333333	1.33333066666667	174.661756333333	231.371790333333	83.4037596666667
f0123	MUT	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.257	2.473	0.752467666666667	1.03929133333333	96.920804	218.366616	109.074095333333
f0124	WT	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.324	2.801	1.15588433333333	1.286055	107.695268666667	268.229372666667	161.338792666667
f0125	HET	M	6month	2021-12-10T00:00:00Z	2022-06-02	0.272	2.777	0.765235	1.11150633333333	120.154704666667	321.459180333333	100.245334333333
f0075	WT	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.327	3.279	0.827708666666667	1.05401766666667	143.091197333333	96.2924436666667	69.297666
f0077	WT	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.48	3.17	1.165844	1.648214	167.499380666667	213.753205666667	222.469373333333
f0078	WT	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.422	3.263	0.909032333333333	1.40315533333333	155.340918333333	170.421464333333	81.422992
f0079	HET	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.382	3.44	1.27525233333333	1.60078633333333	119.770455	172.301343666667	143.181123
f0080	MUT	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.283	2.736	0.827993	1.07519533333333	157.215734	175.171825666667	302.515549666667
f0081	WT	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.632	3.406	1.397127	1.81739733333333	125.237686	277.782315333333	235.724747666667
f0082	HET	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.477	3.258	1.03611166666667	1.38291033333333	183.151833666667	161.835315	155.551354
f0083	MUT	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.392	3.002	1.32609	1.59179	169.418622666667	253.621402	139.764475
f0084	WT	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.517	3.262	1.14958133333333	1.60390533333333	124.216064	215.751169333333	218.422569666667
f0085	HET	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.5	3.369	1.045683	1.36227966666667	174.073063	233.521330666667	179.730551333333
f0086	MUT	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.458	3.091	0.877947666666667	1.17519933333333	161.041895	126.13087	228.928950333333
f0087	WT	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.691	3.659	1.62159566666667	1.811963	165.480244666667	150.469239666667	95.95695
f0088	HET	M	8month	2021-10-03T00:00:00Z	2022-05-26	0.433	3.323	0.955771	1.22634833333333	186.306649333333	228.013699	306.257526333333
